CHAIN,CORRECT,TOTAL,ACCURACY
MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer->UpperCaseNormalizer,5,89,0.056179775280898875
UpperCaseNormalizer->MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer,51,89,0.5730337078651685
UpperCaseNormalizer->PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer,85,89,0.9550561797752809
PunctuationRemoveNormalizer->UpperCaseNormalizer->MapDocumentTextToValueNormalizer,85,89,0.9550561797752809
PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer->UpperCaseNormalizer,5,89,0.056179775280898875
MapDocumentTextToValueNormalizer->LowerCaseNormalizer->PunctuationRemoveNormalizer,0,89,0.0
MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer->LowerCaseNormalizer,0,89,0.0
LowerCaseNormalizer->MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer,51,89,0.5730337078651685
LowerCaseNormalizer->PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer,85,89,0.9550561797752809
PunctuationRemoveNormalizer->LowerCaseNormalizer->MapDocumentTextToValueNormalizer,85,89,0.9550561797752809
PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer->LowerCaseNormalizer,0,89,0.0
UpperCaseNormalizer->LowerCaseNormalizer->PunctuationRemoveNormalizer,0,89,0.0
UpperCaseNormalizer->PunctuationRemoveNormalizer->LowerCaseNormalizer,0,89,0.0
LowerCaseNormalizer->UpperCaseNormalizer->PunctuationRemoveNormalizer,4,89,0.0449438202247191
LowerCaseNormalizer->PunctuationRemoveNormalizer->UpperCaseNormalizer,4,89,0.0449438202247191
PunctuationRemoveNormalizer->LowerCaseNormalizer->UpperCaseNormalizer,4,89,0.0449438202247191
PunctuationRemoveNormalizer->UpperCaseNormalizer->LowerCaseNormalizer,0,89,0.0
MapDocumentTextToValueNormalizer->CapitalizeNormalizer->PunctuationRemoveNormalizer,46,89,0.5168539325842697
MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer->CapitalizeNormalizer,46,89,0.5168539325842697
CapitalizeNormalizer->MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer,51,89,0.5730337078651685
CapitalizeNormalizer->PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer,85,89,0.9550561797752809
PunctuationRemoveNormalizer->CapitalizeNormalizer->MapDocumentTextToValueNormalizer,85,89,0.9550561797752809
PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer->CapitalizeNormalizer,70,89,0.7865168539325843
UpperCaseNormalizer->CapitalizeNormalizer->PunctuationRemoveNormalizer,4,89,0.0449438202247191
UpperCaseNormalizer->PunctuationRemoveNormalizer->CapitalizeNormalizer,4,89,0.0449438202247191
CapitalizeNormalizer->UpperCaseNormalizer->PunctuationRemoveNormalizer,4,89,0.0449438202247191
CapitalizeNormalizer->PunctuationRemoveNormalizer->UpperCaseNormalizer,4,89,0.0449438202247191
PunctuationRemoveNormalizer->CapitalizeNormalizer->UpperCaseNormalizer,4,89,0.0449438202247191
PunctuationRemoveNormalizer->UpperCaseNormalizer->CapitalizeNormalizer,4,89,0.0449438202247191
LowerCaseNormalizer->CapitalizeNormalizer->PunctuationRemoveNormalizer,34,89,0.38202247191011235
LowerCaseNormalizer->PunctuationRemoveNormalizer->CapitalizeNormalizer,34,89,0.38202247191011235
CapitalizeNormalizer->LowerCaseNormalizer->PunctuationRemoveNormalizer,0,89,0.0
CapitalizeNormalizer->PunctuationRemoveNormalizer->LowerCaseNormalizer,0,89,0.0
PunctuationRemoveNormalizer->CapitalizeNormalizer->LowerCaseNormalizer,0,89,0.0
PunctuationRemoveNormalizer->LowerCaseNormalizer->CapitalizeNormalizer,34,89,0.38202247191011235
MapDocumentTextToValueNormalizer->UpperCaseNormalizer->WhitespaceNormalizer,6,89,0.06741573033707865
MapDocumentTextToValueNormalizer->WhitespaceNormalizer->UpperCaseNormalizer,6,89,0.06741573033707865
UpperCaseNormalizer->MapDocumentTextToValueNormalizer->WhitespaceNormalizer,87,89,0.9775280898876404
UpperCaseNormalizer->WhitespaceNormalizer->MapDocumentTextToValueNormalizer,87,89,0.9775280898876404
WhitespaceNormalizer->UpperCaseNormalizer->MapDocumentTextToValueNormalizer,87,89,0.9775280898876404
WhitespaceNormalizer->MapDocumentTextToValueNormalizer->UpperCaseNormalizer,6,89,0.06741573033707865
MapDocumentTextToValueNormalizer->LowerCaseNormalizer->WhitespaceNormalizer,0,89,0.0
MapDocumentTextToValueNormalizer->WhitespaceNormalizer->LowerCaseNormalizer,0,89,0.0
LowerCaseNormalizer->MapDocumentTextToValueNormalizer->WhitespaceNormalizer,87,89,0.9775280898876404
LowerCaseNormalizer->WhitespaceNormalizer->MapDocumentTextToValueNormalizer,87,89,0.9775280898876404
WhitespaceNormalizer->LowerCaseNormalizer->MapDocumentTextToValueNormalizer,87,89,0.9775280898876404
WhitespaceNormalizer->MapDocumentTextToValueNormalizer->LowerCaseNormalizer,0,89,0.0
UpperCaseNormalizer->LowerCaseNormalizer->WhitespaceNormalizer,0,89,0.0
UpperCaseNormalizer->WhitespaceNormalizer->LowerCaseNormalizer,0,89,0.0
LowerCaseNormalizer->UpperCaseNormalizer->WhitespaceNormalizer,5,89,0.056179775280898875
LowerCaseNormalizer->WhitespaceNormalizer->UpperCaseNormalizer,5,89,0.056179775280898875
WhitespaceNormalizer->LowerCaseNormalizer->UpperCaseNormalizer,5,89,0.056179775280898875
WhitespaceNormalizer->UpperCaseNormalizer->LowerCaseNormalizer,0,89,0.0
