ID,CHAR_MISSED,TOKENS_COUNT,FIT
c.w.v.s.n.c.a.tokenizer.SplitterTokenAnnotator@77dbb3168629ef83a77dbf7036c834dc,1188,1392,342
c.w.v.s.n.c.a.tokenizer.SplitterTokenAnnotator@e519f50a5bf4464333ee2b42ff239d3c,1086,1380,359
c.w.v.s.n.c.a.tokenizer.SplitterTokenAnnotator@90a570ede04f0a50d78664d40cb92682,9070,49,0
