FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
PNnECh_1=i,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,S-invoice_number,0.4307
F_PR_0_3_0_ALC_AutoMLToken=number,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,S-invoice_number,0.4179
XxN=_N,c.w.vds.nlp.uima.fe.token.CharPatternXxNFE@b5e81e3c9768332c44f2236f58fae1c1,S-invoice_number,-0.4144
Xx2N3_x2,c.w.n.uima.fe.cell.tokenFEs.CellTokenXx2N3FE@3bfb42620444ede9c2fbcdeee8ee6156,S-invoice_number,0.4143
PNnECh_2=ne,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c75f82e0c44297e7e2026fcc8012fb67,S-invoice_number,0.4031
posIn_Cell_Row_2,c.w.v.s.nlp.component.fe.PositionInCoveringFE@b3485cbedd9763bfe5148a61b8906bb9,S-invoice_number,-0.4007
F_PR_0_3_0_ALC_AutoMLToken=11111,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,S-invoice_number,0.3972
XxN=_,c.w.vds.nlp.uima.fe.token.CharPatternXxNFE@b5e81e3c9768332c44f2236f58fae1c1,S-invoice_number,-0.3972
F_PR_0_3_2_ALC_AutoMLToken=no,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@d7291e75fc9cf1ce5f016b31ebff9e4f,S-invoice_number,0.3920
X1x1N=_1N,c.w.v.nlp.uima.fe.token.CharPatternX1x1NFE@d183b8e1889ede0935f1aa14760bf61d,S-invoice_number,-0.3916
F_FL_0_3_0_ALC_AutoMLToken=01,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,S-invoice_number,0.3911
F_FL_0_3_0_ALC_AutoMLToken=ship,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.nlp.component.fe.LowerCaseWordshapeFE@ccdff18b2b1fc87d90385c212103873e,S-invoice_number,0.3855
PNnECh_1=/,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,S-invoice_number,-0.3797
PNnECh_1=o,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,S-invoice_number,0.3791
ChP=X+,c.w.v.nlp.uima.fe.token.CharacterPatternFE@fc8e8c5d9705b5d36333719684bb2c43,S-invoice_number,-0.3772
