FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
F_CI_Cell_0_F_C_NamedEntity_2_ElementProperty_mentionType=priceWithoutCurrency,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@e9bbf742b1786ec6956c8d4329357240,E-price,0.1842
F_CI_Cell_0_CNFIC_2_0_1_F_C_NamedEntity_1_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@98fd766ea1193e57e8cf899f13a82c42,E-price,0.1813
CAARIPG_usd,c.w.n.u.f.c.tokenFEs.ElementValueRepeatedInPageFE@dfe7aebd98f48d04bbb6e11204748bed,E-price,0.1803
E-NER_price,c.w.nlp.uima.fe.token.IsEndOfNamedEntityFE@5a4278d197b3e3d68cee0520f9545c4e,E-price,-0.1775
B-NER_price,c.w.n.uima.fe.token.IsBeginOfNamedEntityFE@362be1e74e203c25b846896511262cdc,E-price,-0.1662
CFRSCCT_COST,c.w.n.u.f.c.r.CellFirstRowSameColumnCoveredTokenFE@2e208bcb3c848af9798234d5659767b9,E-price,0.1648
SLKM_PLayoutBlock_$,c.w.v.s.n.c.f.PreviousElementSameLineKeywordsMatchFE@789f9ccfd447d4299ecc9990be01e213,E-price,-0.1648
F_CI_Cell_0_CNUNE_2_5_3_F_C_NamedEntity_0_ElementProperty_mentionType=priceWithoutCurrency,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@6155fe06d447151f0d6b7c784ed1212f,E-price,-0.1641
PNnECh_1=/,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,E-price,0.1634
F_CI_Cell_0_CNFIC_2_0_3_KwrdInAnn_unit price_Cell,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@afd428b7c47ea33dafdd2f2135853fb7,E-price,0.1628
FNF_price_Row,c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@e936888fa82a2d0393c49fbcf7d16a42,E-price,-0.1565
F_CI_Cell_0_CNFIC_2_1_3_F_C_NamedEntity_4_ElementProperty_mentionType=currencyCode,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@98fd766ea1193e57e8cf899f13a82c42,E-price,-0.1555
F_PR_0_3_1_F_CI_NamedEntity_1_ElementProperty_mentionType=invoice_date,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,E-price,-0.1532
tokenOcr_RIGHT_2,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@77cafaa04e1418d241a1b3b21da37b1e,E-price,-0.1531
