FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
SLKM_PLayoutBlock_$,c.w.v.s.n.c.f.PreviousElementSameLineKeywordsMatchFE@789f9ccfd447d4299ecc9990be01e213,S-price,-0.4225
F_PR_0_3_2_F_CI_NamedEntity_1_ElementProperty_mentionType=price,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,S-price,-0.4119
F_CI_Cell_0_CNFIC_2_1_3_KwrdInAnn_$_Cell,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@afd428b7c47ea33dafdd2f2135853fb7,S-price,0.3883
CellRowEmptyCellCount,c.w.n.u.fe.cell.rowFEs.CellRowEmptyCellCountFE@8c21cd563c37bcd4dfd607a4b854212e,S-price,-0.3761
F_CI_Line_0_FL_0_2_1_KwrdInAnn_$_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@90b22015595da897cb68f0fcb91f50fd,S-price,-0.3678
PNnECh_4=ount,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@267f399f3dbf3064d6e21ae4dad891ae,S-price,0.3627
F_CI_Line_0_PR_0_2_1_KwrdInAnn_tax_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@37614ce76e5608f34b29c7152ded44a5,S-price,-0.3585
ClClmnKwrd_sales tax,c.w.n.u.fe.cell.columnFEs.CellColumnKeywordFE@c94c80a11f6da481d3fdaa9bfe8cbaf6,S-price,0.3565
LNIFA_priceWithoutCurrency_Row,c.w.v.s.n.c.fe.ner.IsLastNerInFocusElementFE@49cd6e5ca05620e8b8ff783e182f6fb0,S-price,-0.3562
F_FL_0_3_0_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@8e6f1ce5f0f7d2251f7e30af782b0029,S-price,-0.3532
F_CI_Cell_0_CNUNE_2_0_2_SmlKwrds_8_0_unit price,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.SimilarityToKeywordsFE@b75a6b0aef8cc1f7577d5217102732f2,S-price,-0.3525
LeftmostCell_sneakers_black40_shoeblack0,c.w.n.uima.fe.onlinemodel.FirstLeftCellFE@cfa4b4e9fb2ab911f16ac8089c15d01f,S-price,0.3499
EmptyCellCountGreaterEquals_3,c.w.n.u.f.c.c.CellEmptyCellsCountInColumnFE@5bd1f74ff44aac31a4d4ce0350700f4c,S-price,-0.3461
FirstTopNonNumberCell_subtotal,c.w.n.u.f.onlinemodel.NearestTopNonNumberCellFE@b5ea5d89df581005bc685adf519ad27e,S-price,-0.3450
PNnECh_5=hours,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@6a42ed28bba9af899affb58472af8379,S-price,0.3367
F_FL_0_5_1_CI_NamedEntity_3_ElementProperty_mentionType=priceWithoutCurrency,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,S-price,0.3328
tokenOcr_LEFT_0=hours,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@a3562b62691b58b9e928f1a7075a72ab,S-price,0.3323
CFRSCCT_Quantity,c.w.n.u.f.c.r.CellFirstRowSameColumnCoveredTokenFE@2e208bcb3c848af9798234d5659767b9,S-price,-0.3321
