SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.762892,1.0,212,328,212
0.762625,1.0,213,328,213
0.761674,1.0,214,328,214
0.757518,1.0,215,328,215
0.756424,1.0,216,328,216
0.755837,1.0,217,328,217
0.754477,1.0,218,328,218
0.753199,1.0,219,328,219
0.751338,1.0,220,328,220
0.750748,1.0,221,328,221
0.749686,1.0,222,328,222
0.749203,1.0,223,328,223
0.748519,1.0,224,328,224
0.747653,1.0,225,328,225
0.746934,1.0,226,328,226
0.746602,1.0,227,328,227
0.744835,1.0,228,328,228
0.740006,1.0,229,328,229
0.737642,1.0,230,328,230
0.734573,1.0,231,328,231
0.733156,1.0,232,328,232
0.732551,1.0,233,328,233
0.732262,1.0,234,328,234
0.730499,1.0,235,328,235
0.730106,1.0,236,328,236
0.727783,1.0,237,328,237
0.72623,1.0,238,328,238
0.723108,1.0,239,328,239
0.722846,1.0,240,328,240
0.720322,1.0,241,328,241
0.718133,1.0,242,328,242
0.709229,1.0,243,328,243
0.705806,1.0,244,328,244
0.704571,1.0,245,328,245
0.702657,1.0,246,328,246
0.701876,1.0,247,328,247
0.701486,1.0,248,328,248
0.701179,1.0,249,328,249
0.700934,1.0,250,328,250
0.700389,1.0,251,328,251
0.698508,1.0,252,328,252
0.69444,1.0,253,328,253
0.691121,1.0,254,328,254
0.690041,1.0,255,328,255
0.676949,1.0,256,328,256
0.676859,1.0,257,328,257
0.675551,1.0,258,328,258
0.672993,1.0,259,328,259
0.672218,0.9961538461538462,260,328,259
0.671422,0.9961685823754789,261,328,260
0.666291,0.9961832061068703,262,328,261
0.659684,0.9923954372623575,263,328,261
0.658461,0.9924242424242424,264,328,262
0.646979,0.9924528301886792,265,328,263
0.643178,0.9924812030075187,266,328,264
0.638339,0.9887640449438202,267,328,264
0.635348,0.9888059701492538,268,328,265
0.634834,0.9851301115241635,269,328,265
0.62893,0.9814814814814815,270,328,265
0.618945,0.981549815498155,271,328,266
0.617936,0.9816176470588235,272,328,267
0.616891,0.978021978021978,273,328,267
0.614228,0.9744525547445255,274,328,267
0.610136,0.9745454545454545,275,328,268
0.605497,0.9710144927536232,276,328,268
0.605349,0.9675090252707581,277,328,268
0.601398,0.9676258992805755,278,328,269
