ID,CHAR_MISSED,TOKENS_COUNT,FIT
c.w.v.s.n.c.a.tokenizer.SplitterTokenAnnotator@90a570ede04f0a50d78664d40cb92682,1193,8,0
c.w.v.s.n.c.a.tokenizer.SplitterTokenAnnotator@c84932f5d2a54014ecea772103a3a9b3,9,62,53
c.w.v.s.n.c.a.tokenizer.SplitterTokenAnnotator@bef6e9f8acce2061da05e66885c5410e,20,72,53
