FEATURE_NAME,FEATURE_EXTRACTOR,TP,FP,SCORE
NGW_W2_PR_0_3_1_F_CI_NamedEntity_1_ElementProperty_mentionType=price=1.0_F_CI_NamedEntity_0_ElementProperty_mentionType=price=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@2757c514413c1cbb64a344f8771e47c0,5,72,0.06
F_PR_0_3_1_F_CI_NamedEntity_0_ElementProperty_mentionType=price,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@784c19393e7b9a1f2627f5a643aa2054,47,693,0.06
"F_PR_0_3_1_special_char=,",c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,38,564,0.06
"NGW_W2_PR_0_3_1_special_char=,=1.0_special_char=.=1.0",c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@fd278929f08491bc4e25e99fb8dac064,31,511,0.06
special_char=.,c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,83,1481,0.05
NGW_W2_PR_0_3_1_special_char=.=1.0_special_char=-=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@fd278929f08491bc4e25e99fb8dac064,1,18,0.05
last_cell_in_table,c.w.a.f.t.IsLastCellInTableFeatureExtractor@4b84aae0bb790812fa4388a0f1c838eb,32,586,0.05
F_CI_Cell_0_F_C_NamedEntity_0_ElementProperty_mentionType=currencyCode,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@e9bbf742b1786ec6956c8d4329357240,5,93,0.05
NGW_W3_PR_0_3_0_F_CI_NamedEntity_0_ElementProperty_mentionType=price=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=price=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@038141d1376200adf1430d793ca03bda,37,761,0.05
NGW_W2_PR_0_3_0_F_CI_NamedEntity_0_ElementProperty_mentionType=price=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=price=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@2757c514413c1cbb64a344f8771e47c0,38,792,0.05
NGW_W2_PR_0_3_1_F_CI_NamedEntity_0_ElementProperty_mentionType=price=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=price=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@2757c514413c1cbb64a344f8771e47c0,38,796,0.05
NGW_W3_PR_0_3_0_special_char=.=1.0_special_char=.=1.0_special_char=.=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@1d57c3c5651f0ef5f6e45481fd6320be,5,105,0.05
IsLastNumLineInCell,c.w.n.u.f.cell.lineFEs.IsLastNumericLineInCellFE@cc04e1c133f7cfc2ba63530dd6fe0337,50,1163,0.04
F_PR_0_3_1_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,63,1471,0.04
NERCCper_price,c.w.n.u.f.c.columnFEs.NerCountPercentageInColumnFE@32c339d3c895dd1b1c378fcd95d23061,50,1184,0.04
F_CI_Line_0_PR_0_2_1_KwrdInAnn_tax_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@37614ce76e5608f34b29c7152ded44a5,5,127,0.04
NERCCper_currencyCode,c.w.n.u.f.c.columnFEs.NerCountPercentageInColumnFE@32c339d3c895dd1b1c378fcd95d23061,55,1398,0.04
F_PR_0_3_0_SmlKwrds_8_0_duer,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.SimilarityToKeywordsFE@384da138e8a5ec8cfbcb0b82f53a4990,10,260,0.04
total_amount_keywords_preceded,c.w.a.f.g.IsPrecededWithKeywordsInLineFeatureExtractor@a80e75bb9b63f19ce43d9285a60355b4,22,579,0.04
F_CI_Line_0_KwrdInAnn_total_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@816eaa4ca5503bd407b5150090f1d35e,12,319,0.04
SLKM_PLayoutBlock_amount,c.w.v.s.n.c.f.PreviousElementSameLineKeywordsMatchFE@789f9ccfd447d4299ecc9990be01e213,6,160,0.04
