ID,CHAR_MISSED,TOKENS_COUNT,FIT
c.w.v.s.n.c.a.tokenizer.SplitterTokenAnnotator@77dbb3168629ef83a77dbf7036c834dc,11,101,92
c.w.v.s.n.c.a.tokenizer.SplitterTokenAnnotator@90a570ede04f0a50d78664d40cb92682,747,8,0
c.w.v.s.n.c.a.tokenizer.SplitterTokenAnnotator@d07da2ac9921d49c9102074c31484107,14,96,82
