ACCURACY,RATE
0.000,0.4932203389830508
0.005,0.4932203389830508
0.010,0.4932203389830508
0.015,0.4932203389830508
0.020,0.4932203389830508
0.025,0.4932203389830508
0.030,0.4932203389830508
0.035,0.4932203389830508
0.040,0.4932203389830508
0.045,0.4932203389830508
0.050,0.4932203389830508
0.055,0.4932203389830508
0.060,0.4932203389830508
0.065,0.4932203389830508
0.070,0.4932203389830508
0.075,0.4932203389830508
0.080,0.4932203389830508
0.085,0.4932203389830508
0.090,0.4932203389830508
0.095,0.4932203389830508
0.100,0.4932203389830508
0.105,0.4932203389830508
0.110,0.4932203389830508
0.115,0.4932203389830508
0.120,0.4864406779661017
0.125,0.4864406779661017
0.130,0.4864406779661017
0.135,0.4864406779661017
0.140,0.4864406779661017
0.145,0.4864406779661017
0.150,0.4864406779661017
0.155,0.4864406779661017
0.160,0.4864406779661017
0.165,0.4864406779661017
0.170,0.4864406779661017
0.175,0.4864406779661017
0.180,0.4864406779661017
0.185,0.4864406779661017
0.190,0.4864406779661017
0.195,0.4864406779661017
0.200,0.4864406779661017
0.205,0.4864406779661017
0.210,0.4864406779661017
0.215,0.4864406779661017
0.220,0.4864406779661017
0.225,0.4864406779661017
0.230,0.4864406779661017
0.235,0.4864406779661017
0.240,0.4864406779661017
0.245,0.4864406779661017
0.250,0.4864406779661017
0.255,0.4779661016949153
0.260,0.4779661016949153
0.265,0.4779661016949153
0.270,0.4779661016949153
0.275,0.4779661016949153
0.280,0.4779661016949153
0.285,0.4779661016949153
0.290,0.4779661016949153
0.295,0.4779661016949153
0.300,0.4779661016949153
0.305,0.4779661016949153
0.310,0.4711864406779661
0.315,0.4711864406779661
0.320,0.4711864406779661
0.325,0.4711864406779661
0.330,0.4711864406779661
0.335,0.4711864406779661
0.340,0.4711864406779661
0.345,0.4711864406779661
0.350,0.4711864406779661
0.355,0.4711864406779661
0.360,0.4711864406779661
0.365,0.4711864406779661
0.370,0.4711864406779661
0.375,0.4711864406779661
0.380,0.4711864406779661
0.385,0.4711864406779661
0.390,0.4711864406779661
0.395,0.4711864406779661
0.400,0.4711864406779661
0.405,0.4711864406779661
0.410,0.4711864406779661
0.415,0.4711864406779661
0.420,0.4711864406779661
0.425,0.4711864406779661
0.430,0.4711864406779661
0.435,0.4711864406779661
0.440,0.4711864406779661
0.445,0.4711864406779661
0.450,0.4711864406779661
0.455,0.4711864406779661
0.460,0.4711864406779661
0.465,0.4711864406779661
0.470,0.4711864406779661
0.475,0.4711864406779661
0.480,0.4711864406779661
0.485,0.4711864406779661
0.490,0.4711864406779661
0.495,0.4711864406779661
0.500,0.4711864406779661
0.505,0.4711864406779661
0.510,0.4711864406779661
0.515,0.4711864406779661
0.520,0.4711864406779661
0.525,0.4711864406779661
0.530,0.4711864406779661
0.535,0.4711864406779661
0.540,0.4711864406779661
0.545,0.4711864406779661
0.550,0.4711864406779661
0.555,0.4711864406779661
0.560,0.4711864406779661
0.565,0.4711864406779661
0.570,0.4711864406779661
0.575,0.4711864406779661
0.580,0.4711864406779661
0.585,0.4711864406779661
0.590,0.4711864406779661
0.595,0.4711864406779661
0.600,0.4711864406779661
0.605,0.4711864406779661
0.610,0.4711864406779661
0.615,0.4711864406779661
0.620,0.4711864406779661
0.625,0.4711864406779661
0.630,0.4711864406779661
0.635,0.4711864406779661
0.640,0.4711864406779661
0.645,0.4711864406779661
0.650,0.4711864406779661
0.655,0.4711864406779661
0.660,0.4711864406779661
0.665,0.4711864406779661
0.670,0.4711864406779661
0.675,0.4711864406779661
0.680,0.4711864406779661
0.685,0.4711864406779661
0.690,0.4711864406779661
0.695,0.4711864406779661
0.700,0.4711864406779661
0.705,0.4711864406779661
0.710,0.4711864406779661
0.715,0.4711864406779661
0.720,0.4711864406779661
0.725,0.4711864406779661
0.730,0.4711864406779661
0.735,0.4711864406779661
0.740,0.4711864406779661
0.745,0.4711864406779661
0.750,0.4711864406779661
0.755,0.4677966101694915
0.760,0.4677966101694915
0.765,0.4677966101694915
0.770,0.4677966101694915
0.775,0.4677966101694915
0.780,0.4677966101694915
0.785,0.4677966101694915
0.790,0.4661016949152542
0.795,0.4661016949152542
0.800,0.4661016949152542
0.805,0.4661016949152542
0.810,0.4644067796610170
0.815,0.4644067796610170
0.820,0.4644067796610170
0.825,0.4644067796610170
0.830,0.4627118644067796
0.835,0.4610169491525424
0.840,0.4610169491525424
0.845,0.4593220338983051
0.850,0.4576271186440678
0.855,0.4576271186440678
0.860,0.4576271186440678
0.865,0.4542372881355932
0.870,0.4525423728813560
0.875,0.4525423728813560
0.880,0.4525423728813560
0.885,0.4525423728813560
0.890,0.4525423728813560
0.895,0.4525423728813560
0.900,0.4508474576271186
0.905,0.4186440677966102
0.910,0.4067796610169492
0.915,0.4067796610169492
0.920,0.4067796610169492
0.925,0.4067796610169492
0.930,0.4033898305084746
0.935,0.4000000000000000
0.940,0.4000000000000000
0.945,0.3881355932203390
0.950,0.3796610169491526
0.955,0.3796610169491526
0.960,0.3661016949152542
0.965,0.3576271186440678
0.970,0.3576271186440678
0.975,0.3271186440677966
0.980,0.3135593220338983
0.985,0.3135593220338983
0.990,0.2135593220338983
0.995,0.2135593220338983
1.000,0.2135593220338983
