FEATURE_NAME,FEATURE_EXTRACTOR,CLASS,SCORE
NGW_W2_PR_0_3_1_F_CI_NamedEntity_0_ElementProperty_mentionType=price=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=price=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@2757c514413c1cbb64a344f8771e47c0,I-quantity,-0.0472
NGW_W3_PR_0_3_0_F_CI_NamedEntity_0_ElementProperty_mentionType=price=1.0_F_CI_NamedEntity_1_ElementProperty_mentionType=price=1.0,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@038141d1376200adf1430d793ca03bda,I-quantity,-0.0472
F_CI_NamedEntity_0_ElementProperty_mentionType=priceWithoutCurrency,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@9e74914a0a46bac44f257b5d17cb3b4d,I-quantity,-0.0472
E-NER_priceWithoutCurrency,c.w.nlp.uima.fe.token.IsEndOfNamedEntityFE@5a4278d197b3e3d68cee0520f9545c4e,I-quantity,-0.0472
B-NER_priceWithoutCurrency,c.w.n.uima.fe.token.IsBeginOfNamedEntityFE@362be1e74e203c25b846896511262cdc,I-quantity,-0.0472
F_CI_Cell_0_F_C_NamedEntity_0_ElementProperty_mentionType=priceWithoutCurrency,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@e9bbf742b1786ec6956c8d4329357240,I-quantity,0.0471
F_CI_Cell_0_CNFIC_2_0_2_SmlKwrds_8_0_quantity,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.SimilarityToKeywordsFE@df8067f08dfe9910dced361d78719c1e,I-quantity,0.0471
FirstTopNonNumberCell_quantity,c.w.n.u.f.onlinemodel.NearestTopNonNumberCellFE@b5ea5d89df581005bc685adf519ad27e,I-quantity,0.0471
ColHead_quantity,c.w.nlp.uima.fe.onlinemodel.ColumnHeaderFE@472b3ee1a971628102e99e99e834fa4d,I-quantity,0.0470
tokenOcr_RIGHT_1,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@77cafaa04e1418d241a1b3b21da37b1e,I-quantity,-0.0437
F_PR_0_3_1_special_char=.,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.SpecialCharFE@08da2c68c7240921a5ba223e196c039d,I-quantity,0.0437
tokenOcr_RIGHT_2,c.w.nlp.uima.fe.onlinemodel.LineTokenOcrFE@77cafaa04e1418d241a1b3b21da37b1e,I-quantity,-0.0437
F_FL_0_5_0_CI_NamedEntity_0_ElementProperty_mentionType=supplier_name,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@79733beb6dc6bf4fc345d262b6b91b9c,I-quantity,-0.0435
PNnECh_1=d,c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@cbd622ef0ba3cde30d7b8e5d4af8e0d7,I-quantity,-0.0431
F_CI_Line_0_PR_0_2_1_KwrdInAnn_$_Line,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.v.s.n.component.fe.FocusElementKeywordsFE@37614ce76e5608f34b29c7152ded44a5,I-quantity,-0.0391
F_CI_Cell_0_F_C_NamedEntity_1_ElementProperty_mentionType=priceWithoutCurrency,c.w.n.u.fe.context.ContextFeatureExtractor$c.w.nlp.uima.fe.token.ElementPropertyFE@e9bbf742b1786ec6956c8d4329357240,I-quantity,0.0369
ClClmnKwrd_quantity,c.w.n.u.fe.cell.columnFEs.CellColumnKeywordFE@c94c80a11f6da481d3fdaa9bfe8cbaf6,I-quantity,0.0369
quantity_match_table_column_header,c.w.a.f.t.MatchFullColumnOrRowWithSpecifiedHeaderFeatureExtractor@9bb11b11e8a0bcdd4a5a6aa9a7745c76,I-quantity,0.0360
special_char=-,c.w.nlp.uima.fe.token.SpecialCharFE@6b459f5451e4fe06fd4e40ac8aa4833d,I-quantity,-0.0353
CellRowEmptyCellCount,c.w.n.u.fe.cell.rowFEs.CellRowEmptyCellCountFE@8c21cd563c37bcd4dfd607a4b854212e,I-quantity,-0.0341
EmptyCellCountGreaterEquals_1,c.w.n.u.f.c.c.CellEmptyCellsCountInColumnFE@5bd1f74ff44aac31a4d4ce0350700f4c,I-quantity,-0.0323
