FIELD         ,TP ,TN,FP,FN,P                 ,R                 ,F1                ,A
product       ,278,0 ,16,81,0.9455782312925171,0.7743732590529248,0.8514548238897396,0.7413333333333333
quantity      ,288,0 ,23,40,0.9260450160771704,0.8780487804878049,0.9014084507042253,0.8205128205128205
total_amount  ,70 ,0 ,5 ,24,0.9333333333333333,0.7446808510638298,0.8284023668639054,0.7070707070707071
price         ,312,0 ,29,44,0.9149560117302052,0.8764044943820225,0.8952654232424677,0.8103896103896104
supplier_name ,70 ,0 ,1 ,19,0.9859154929577465,0.7865168539325843,0.8749999999999999,0.7777777777777778
invoice_number,71 ,0 ,5 ,22,0.9342105263157895,0.7634408602150538,0.8402366863905325,0.7244897959183674
email         ,43 ,0 ,2 ,10,0.9555555555555556,0.8113207547169812,0.8775510204081634,0.7818181818181819
invoice_date  ,72 ,0 ,5 ,13,0.935064935064935 ,0.8470588235294118,0.888888888888889 ,0.8
