CHAIN,CORRECT,TOTAL,ACCURACY
MapDocumentTextToValueNormalizer->UpperCaseNormalizer->PunctuationRemoveNormalizer,8,359,0.022284122562674095
MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer->UpperCaseNormalizer,8,359,0.022284122562674095
UpperCaseNormalizer->MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer,272,359,0.7576601671309192
UpperCaseNormalizer->PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer,323,359,0.8997214484679665
PunctuationRemoveNormalizer->UpperCaseNormalizer->MapDocumentTextToValueNormalizer,323,359,0.8997214484679665
PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer->UpperCaseNormalizer,9,359,0.025069637883008356
MapDocumentTextToValueNormalizer->LowerCaseNormalizer->PunctuationRemoveNormalizer,4,359,0.011142061281337047
MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer->LowerCaseNormalizer,4,359,0.011142061281337047
LowerCaseNormalizer->MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer,272,359,0.7576601671309192
LowerCaseNormalizer->PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer,323,359,0.8997214484679665
PunctuationRemoveNormalizer->LowerCaseNormalizer->MapDocumentTextToValueNormalizer,323,359,0.8997214484679665
PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer->LowerCaseNormalizer,5,359,0.013927576601671309
UpperCaseNormalizer->LowerCaseNormalizer->PunctuationRemoveNormalizer,4,359,0.011142061281337047
UpperCaseNormalizer->PunctuationRemoveNormalizer->LowerCaseNormalizer,4,359,0.011142061281337047
LowerCaseNormalizer->UpperCaseNormalizer->PunctuationRemoveNormalizer,10,359,0.027855153203342618
LowerCaseNormalizer->PunctuationRemoveNormalizer->UpperCaseNormalizer,10,359,0.027855153203342618
PunctuationRemoveNormalizer->LowerCaseNormalizer->UpperCaseNormalizer,10,359,0.027855153203342618
PunctuationRemoveNormalizer->UpperCaseNormalizer->LowerCaseNormalizer,4,359,0.011142061281337047
MapDocumentTextToValueNormalizer->CapitalizeNormalizer->PunctuationRemoveNormalizer,237,359,0.6601671309192201
MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer->CapitalizeNormalizer,237,359,0.6601671309192201
CapitalizeNormalizer->MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer,272,359,0.7576601671309192
CapitalizeNormalizer->PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer,323,359,0.8997214484679665
PunctuationRemoveNormalizer->CapitalizeNormalizer->MapDocumentTextToValueNormalizer,323,359,0.8997214484679665
PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer->CapitalizeNormalizer,259,359,0.7214484679665738
UpperCaseNormalizer->CapitalizeNormalizer->PunctuationRemoveNormalizer,10,359,0.027855153203342618
UpperCaseNormalizer->PunctuationRemoveNormalizer->CapitalizeNormalizer,10,359,0.027855153203342618
CapitalizeNormalizer->UpperCaseNormalizer->PunctuationRemoveNormalizer,10,359,0.027855153203342618
CapitalizeNormalizer->PunctuationRemoveNormalizer->UpperCaseNormalizer,10,359,0.027855153203342618
PunctuationRemoveNormalizer->CapitalizeNormalizer->UpperCaseNormalizer,10,359,0.027855153203342618
PunctuationRemoveNormalizer->UpperCaseNormalizer->CapitalizeNormalizer,10,359,0.027855153203342618
LowerCaseNormalizer->CapitalizeNormalizer->PunctuationRemoveNormalizer,231,359,0.6434540389972145
LowerCaseNormalizer->PunctuationRemoveNormalizer->CapitalizeNormalizer,231,359,0.6434540389972145
CapitalizeNormalizer->LowerCaseNormalizer->PunctuationRemoveNormalizer,4,359,0.011142061281337047
CapitalizeNormalizer->PunctuationRemoveNormalizer->LowerCaseNormalizer,4,359,0.011142061281337047
PunctuationRemoveNormalizer->CapitalizeNormalizer->LowerCaseNormalizer,4,359,0.011142061281337047
