CHAIN,CORRECT,TOTAL,ACCURACY
MapDocumentTextToValueNormalizer->UpperCaseNormalizer->PunctuationRemoveNormalizer,82,93,0.8817204301075269
MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer->UpperCaseNormalizer,82,93,0.8817204301075269
UpperCaseNormalizer->MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer,83,93,0.8924731182795699
UpperCaseNormalizer->PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer,90,93,0.967741935483871
PunctuationRemoveNormalizer->UpperCaseNormalizer->MapDocumentTextToValueNormalizer,90,93,0.967741935483871
PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer->UpperCaseNormalizer,88,93,0.946236559139785
MapDocumentTextToValueNormalizer->LowerCaseNormalizer->PunctuationRemoveNormalizer,72,93,0.7741935483870968
MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer->LowerCaseNormalizer,72,93,0.7741935483870968
LowerCaseNormalizer->MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer,83,93,0.8924731182795699
LowerCaseNormalizer->PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer,90,93,0.967741935483871
PunctuationRemoveNormalizer->LowerCaseNormalizer->MapDocumentTextToValueNormalizer,90,93,0.967741935483871
PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer->LowerCaseNormalizer,71,93,0.7634408602150538
UpperCaseNormalizer->LowerCaseNormalizer->PunctuationRemoveNormalizer,68,93,0.7311827956989247
UpperCaseNormalizer->PunctuationRemoveNormalizer->LowerCaseNormalizer,68,93,0.7311827956989247
LowerCaseNormalizer->UpperCaseNormalizer->PunctuationRemoveNormalizer,76,93,0.8172043010752689
LowerCaseNormalizer->PunctuationRemoveNormalizer->UpperCaseNormalizer,76,93,0.8172043010752689
PunctuationRemoveNormalizer->LowerCaseNormalizer->UpperCaseNormalizer,76,93,0.8172043010752689
PunctuationRemoveNormalizer->UpperCaseNormalizer->LowerCaseNormalizer,68,93,0.7311827956989247
MapDocumentTextToValueNormalizer->CapitalizeNormalizer->PunctuationRemoveNormalizer,83,93,0.8924731182795699
MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer->CapitalizeNormalizer,83,93,0.8924731182795699
CapitalizeNormalizer->MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer,83,93,0.8924731182795699
CapitalizeNormalizer->PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer,90,93,0.967741935483871
