ID,CHAR_MISSED,TOKENS_COUNT,FIT
c.w.v.s.n.c.a.tokenizer.SplitterTokenAnnotator@3887a8c207f2f07fb142ab446c96c97d,159,211,82
c.w.v.s.n.c.a.tokenizer.SplitterTokenAnnotator@90a570ede04f0a50d78664d40cb92682,1412,6,0
c.w.v.s.n.c.a.tokenizer.SplitterTokenAnnotator@369854db75a2512e7e9765d4bda5bf72,133,204,89
